song_id,title,artist,track_number,stem_name,display_name,url,video_id,duration,source_type,start_offset,notes
higher-ground,Higher Ground,Stevie Wonder,0,full_song,Full Song Reference,https://www.youtube.com/watch?v=1esf0efHbjM,1esf0efHbjM,3:43,official_audio,3.480500,Master full stereo mix reference track
higher-ground,Higher Ground,Stevie Wonder,1,drums_tambourine,Drums & Tambourine,https://www.youtube.com/watch?v=7hR9qQZkLw8,7hR9qQZkLw8,3:46,deconstruction,4.313854,Sliced from HJ's Corner deconstruction (00:04-03:50)
higher-ground,Higher Ground,Stevie Wonder,2,moog_bass,Moog Synth Bass,https://www.youtube.com/watch?v=7hR9qQZkLw8,7hR9qQZkLw8,3:40,deconstruction,11.016146,Sliced from HJ's Corner deconstruction (03:51-07:32)
higher-ground,Higher Ground,Stevie Wonder,3,clavinets,Clavinets (Wah / Mu-Tron),https://www.youtube.com/watch?v=7hR9qQZkLw8,7hR9qQZkLw8,3:50,deconstruction,0.000000,Sliced from HJ's Corner deconstruction (07:33-11:24)
higher-ground,Higher Ground,Stevie Wonder,4,vocals,Lead & Backing Vocals,https://www.youtube.com/watch?v=7hR9qQZkLw8,7hR9qQZkLw8,3:46,deconstruction,4.015187,Sliced from HJ's Corner deconstruction (11:26-15:12)
superstition,Superstition,Stevie Wonder,0,full_song,Full Song Reference,https://www.youtube.com/watch?v=egqv1mtos6A,egqv1mtos6A,4:28,official_audio,0.000000,Master full stereo mix reference track
superstition,Superstition,Stevie Wonder,1,drums,Drums,https://www.youtube.com/watch?v=8ziGOKNAluY,8ziGOKNAluY,4:56,stems_playlist,0.000000,Rock Band studio master rip (isolated drums)
superstition,Superstition,Stevie Wonder,2,bass,TONTO Moog Synth Bass,https://www.youtube.com/watch?v=vJS58xWUef8,vJS58xWUef8,4:56,stems_playlist,0.000000,Rock Band studio master rip (isolated synth bass)
superstition,Superstition,Stevie Wonder,3,vocals,Lead & Backing Vocals,https://www.youtube.com/watch?v=SxqK9DXlKqE,SxqK9DXlKqE,4:56,stems_playlist,0.000000,Rock Band studio master rip (isolated vocals)
sir-duke,Sir Duke,Stevie Wonder,0,full_song,Full Song Reference,https://www.youtube.com/watch?v=EnNgASBdCeo,EnNgASBdCeo,3:53,official_audio,0.000000,Master full stereo mix reference track
sir-duke,Sir Duke,Stevie Wonder,1,drums,Drums,https://www.youtube.com/watch?v=WwK3O9b5KFY,WwK3O9b5KFY,3:54,stems_playlist,0.000000,Rock Band studio master rip (Raymond Pounds drums)
sir-duke,Sir Duke,Stevie Wonder,2,bass,Bass (Nathan Watts),https://www.youtube.com/watch?v=gexmlOgxMso,gexmlOgxMso,3:54,stems_playlist,0.000000,Rock Band studio master rip (Nathan Watts bass)
sir-duke,Sir Duke,Stevie Wonder,3,guitars,Guitars,https://www.youtube.com/watch?v=IBa9giTu-jI,IBa9giTu-jI,3:54,stems_playlist,0.000000,Rock Band studio master rip (rhythm guitar & fills)
sir-duke,Sir Duke,Stevie Wonder,4,vocals,Vocals,https://www.youtube.com/watch?v=G9EE05Czn74,G9EE05Czn74,3:54,stems_playlist,0.000000,Rock Band studio master rip (lead & backing vocals)
sir-duke,Sir Duke,Stevie Wonder,5,keyboards,Fender Rhodes & Keyboards,https://www.youtube.com/watch?v=bOslOGxQX8o,bOslOGxQX8o,3:54,stems_playlist,0.000000,Rock Band studio master rip (Rhodes & piano)
i-wish,I Wish,Stevie Wonder,0,full_song,Full Song Reference,https://www.youtube.com/watch?v=c7IYSAUj78g,c7IYSAUj78g,4:12,official_audio,0.000000,Master full stereo mix reference track
i-wish,I Wish,Stevie Wonder,1,drums,Drums,https://www.youtube.com/watch?v=qpnp5BEOcC0,qpnp5BEOcC0,4:08,stems_playlist,0.000000,Rock Band studio master rip (Raymond Pounds drums)
i-wish,I Wish,Stevie Wonder,2,bass,Walking Bass (Nathan Watts),https://www.youtube.com/watch?v=9PHrzWjPodc,9PHrzWjPodc,4:08,stems_playlist,0.000000,Rock Band studio master rip (walking bassline)
i-wish,I Wish,Stevie Wonder,3,guitars,Guitars,https://www.youtube.com/watch?v=QYcq9H5sS78,QYcq9H5sS78,4:08,stems_playlist,0.000000,Rock Band studio master rip (rhythm funk guitar)
i-wish,I Wish,Stevie Wonder,4,keyboards,Fender Rhodes & Clavinet,https://www.youtube.com/watch?v=6GjOW43QGCY,6GjOW43QGCY,4:08,stems_playlist,0.000000,Rock Band studio master rip (Rhodes & clavinet)
